X	Y
-0.365734	0.673413
-0.384726	0.344068
-0.551603	0.482672
-0.68766	0.238392
-1.30458	1.46957
-0.78629	0.415307
-0.30152	0.22838
-0.827896	1.25161
-0.252717	-0.137143
-0.772788	1.08475
-1.28065	0.611925
-0.213644	0.287796
-0.780144	0.448592
-1.37721	1.22246
-1.15049	1.28039
-0.689172	0.126994
0.0606613	-0.0758789
-0.349997	-0.264355
-1.1613	0.702166
-1.4477	1.32988
-1.73894	0.66057
0.0762544	-0.253121
-0.775431	1.17345
0.297264	-0.192257
0.0621621	-0.283771
-0.401905	0.257318
-1.36548	0.80726
-0.234746	-0.210837
-0.778763	1.03523
-1.10788	1.45575
-0.881057	1.26452
-1.41519	1.58017
0.331938	-0.121432
-0.827373	0.413877
-1.27487	1.46849
-1.33407	0.72024
-0.00241793	0.685504
-0.330444	0.854377
0.24433	0.54096
-0.311068	0.36121
-1.16741	1.24544
0.158641	-0.409742
-0.584563	0.836255
-0.355605	-0.0427463
-0.743658	0.481514
-0.43299	0.910598
-0.783909	0.339987
0.371627	-0.697909
-0.602366	1.24995
-0.621242	0.861067
-0.802298	1.17687
-0.934238	0.719858
0.0517118	-0.233325
-1.51735	0.93387
-1.4566	1.00532
0.310347	-0.278262
-0.475094	0.0980175
-0.508246	1.03202
0.227462	-0.245141
-1.29644	0.265965
0.587492	-0.477488
0.751909	-0.640649
-1.13169	1.56333
-0.57572	0.960845
-1.7484	0.909216
-1.3233	1.37909
-1.55425	0.870741
-0.781169	0.451198
0.0363326	-0.0952793
-0.0996265	-0.27066
-0.60995	1.26411
-1.20501	0.733345
-0.486769	1.02831
-0.296257	0.230895
0.0911194	0.491803
-0.653899	0.0768513
-0.198205	0.78773
-0.637474	1.14503
-1.62923	1.75564
-0.653049	1.06965
-0.534915	0.266892
-1.09267	0.519336
-0.37272	1.09536
0.0632207	0.56182
-0.701635	0.2694
-1.82297	1.18275
-0.305309	0.243224
-0.759765	0.548579
-0.61509	0.967206
-0.916046	1.46821
0.264234	0.356875
-1.29573	1.46519
0.381214	-0.356581
-0.704409	1.22256
-1.12728	0.381078
-0.273245	0.0160757
0.0276926	0.965502
-0.012425	0.0506771
-0.476201	0.153876
-1.21889	1.67457
-0.317899	0.935891
-0.000852338	-0.162596
-0.160166	-0.0960118
-0.976314	0.620316
0.482534	-0.269854
-0.578894	-0.0703873
-0.485428	0.2596
-0.570929	0.207386
-0.458432	0.46861
0.294742	-0.3439
0.0032797	-0.0580097
-0.736045	0.422675
-0.861206	1.1536
-0.166373	-0.330975
-0.728763	0.334299
-0.962591	0.183938
-0.147889	-0.00745012
0.486696	-0.408155
-0.550966	0.385614
-0.844405	0.233971
-0.922665	1.37591
-0.387	0.867602
0.586038	-0.43161
-0.320125	0.128559
